# [variable_independiente] [variable_dependiente] [derivada_variable_dependiente]
5.0547945205e-01 -2.1959342939e-01 5.9685906264e+00
5.0821917808e-01 -2.0913046240e-01 6.1392681382e+00
5.1095890411e-01 -1.9313185251e-01 6.3005266756e+00
5.1369863014e-01 -1.6666934475e-01 6.4517915351e+00
5.1643835616e-01 -1.7180746726e-01 6.5925009735e+00
5.1917808219e-01 -1.3321709943e-01 6.7221079110e+00
5.2191780822e-01 -1.1394354320e-01 6.8400816456e+00
5.2465753425e-01 -1.0278586780e-01 6.9459095754e+00
5.2739726027e-01 -8.2756378290e-02 7.0390989259e+00
5.3013698630e-01 -6.5933989856e-02 7.1191784773e+00
5.3287671233e-01 -4.3471689285e-02 7.1857002889e+00
5.3561643836e-01 -3.9919426079e-02 7.2382414154e+00
5.3835616438e-01 1.6676101387e-03 7.2764056125e+00
5.4109589041e-01 2.0317799956e-02 7.2998250258e+00
5.4383561644e-01 4.0363076348e-02 7.3081618591e+00
5.4657534247e-01 5.6497363815e-02 7.3011100178e+00
5.4931506849e-01 7.5813708254e-02 7.2783967225e+00
5.5205479452e-01 1.0473931991e-01 7.2397840878e+00
5.5479452055e-01 1.1017777615e-01 7.1850706610e+00
5.5753424658e-01 1.2102713795e-01 7.1140929166e+00
5.6027397260e-01 1.6823439648e-01 7.0267267002e+00
5.6301369863e-01 1.7839369847e-01 6.9228886181e+00
5.6575342466e-01 1.9748732941e-01 6.8025373648e+00
5.6849315068e-01 2.0486783475e-01 6.6656749859e+00
5.7123287671e-01 2.2407363974e-01 6.5123480688e+00
5.7397260274e-01 2.4454361975e-01 6.3426488556e+00
5.7671232877e-01 2.5612914718e-01 6.1567162744e+00
5.7945205479e-01 2.9022209261e-01 5.9547368809e+00
5.8219178082e-01 2.8693072980e-01 5.7369457064e+00
5.8493150685e-01 3.1834448651e-01 5.5036270054e+00
5.8767123288e-01 3.2301746296e-01 5.2551148975e+00
5.9041095890e-01 3.6344911398e-01 4.9917938975e+00
5.9315068493e-01 3.7189377781e-01 4.7140993286e+00
5.9589041096e-01 3.6106255424e-01 4.4225176112e+00
5.9863013699e-01 3.6858546842e-01 4.1175864240e+00
6.0136986301e-01 3.9388978186e-01 3.7998947298e+00
6.0410958904e-01 3.9507763461e-01 3.4700826612e+00
6.0684931507e-01 4.1341004708e-01 3.1288412604e+00
6.0958904110e-01 4.2941900566e-01 2.7769120676e+00
6.1232876712e-01 4.2423881225e-01 2.4150865532e+00
6.1506849315e-01 4.3167113177e-01 2.0442053875e+00
6.1780821918e-01 4.4873711980e-01 1.6651575441e+00
6.2054794521e-01 4.5992812950e-01 1.2788792309e+00
6.2328767123e-01 4.5315157011e-01 8.8635264550e-01
6.2602739726e-01 4.5079045600e-01 4.8860454822e-01
6.2876712329e-01 4.4742436114e-01 8.6704651100e-02
6.3150684932e-01 4.5903486031e-01 -3.1823618300e-01
6.3424657534e-01 4.5522995605e-01 -7.2506793418e-01
6.3698630137e-01 4.4193934189e-01 -1.1326036156e+00
6.3972602740e-01 4.5862017353e-01 -1.5396216632e+00
6.4246575342e-01 4.4348152593e-01 -1.9448685272e+00
6.4520547945e-01 4.2152622758e-01 -2.3470614689e+00
6.4794520548e-01 4.1563135348e-01 -2.7448915626e+00
6.5068493151e-01 4.3158875492e-01 -3.1370269066e+00
6.5342465753e-01 3.9358467605e-01 -3.5221160423e+00
6.5616438356e-01 3.8335651081e-01 -3.8987915823e+00
6.5890410959e-01 3.8477068837e-01 -4.2656740480e+00
6.6164383562e-01 3.7085888094e-01 -4.6213759154e+00
6.6438356164e-01 3.4796973191e-01 -4.9645058676e+00
6.6712328767e-01 3.5888135295e-01 -5.2936732528e+00
6.6986301370e-01 3.4061635847e-01 -5.6074927438e+00
6.7260273973e-01 2.9073312770e-01 -5.9045891972e+00
6.7534246575e-01 2.8878184355e-01 -6.1836027061e+00
6.7808219178e-01 2.8384436761e-01 -6.4431938427e+00
6.8082191781e-01 2.6601963520e-01 -6.6820490848e+00
6.8356164384e-01 2.3036749380e-01 -6.8988864173e+00
6.8630136986e-01 2.2961023638e-01 -7.0924611043e+00
6.8904109589e-01 1.9819510657e-01 -7.2615716188e+00
6.9178082192e-01 1.7692012706e-01 -7.4050657238e+00
6.9452054795e-01 1.5221118213e-01 -7.5218466908e+00
6.9726027397e-01 1.2273492546e-01 -7.6108796452e+00
7.0000000000e-01 1.2423169579e-01 -7.6711980234e+00
